rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,,,
28468,Teegarden's Star b,Teegarden's Star,b,,,TIC 257870150,Gaia DR2 35227046884571776,1,1,2,0,0,Radial Velocity,2019,<a refstr=ZECHMEISTER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..49Z/abstract target=ref>Zechmeister et al. 2019</a>,2019-07,Ground,Calar Alto Observatory,3.5 m telescope,CARMENES,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ZECHMEISTER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..49Z/abstract target=ref>Zechmeister et al. 2019</a>,4.91,0.0014,-0.0014,0,0.0252,0.0008,-0.0009,0,,,,,,,,,,,,,,,,,1.05,0.13,-0.12,0,0.0033,0.00041,-0.00038,0,,,,,,,,,1.05,0.13,-0.12,0,0.0033,0.00041,-0.00038,0,Msini,,,,,0,0.16,0,0,1.15,0.08,-0.08,0,,,,,,,,,,,,,BJD,0,,,,,,,,,,,,,,,,,,,,,,,,,2458052.3,0.7,-1.1,0,77,52,-79,0,2.02,0.19,-0.2,0,,,,,,,,,<a refstr=ZECHMEISTER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..49Z/abstract target=ref>Zechmeister et al. 2019</a>,M7.0 V,2904,51,-51,0,0.11,0,0,0,0.09,0.01,-0.01,0,-0.19,0.16,-0.16,0,[Fe/H],-3.137,0.006,-0.006,0,,,,,8,,,-1,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,-37.02612,160.2633,0.3210817,45.81697,5123.3319204,0.3197227,-0.3197227,3429.53,0.32799,-0.32799,-3806.16,0.31285,-0.31285,3.83078,0.00398,-0.00397,261.015,0.26896,-0.26896,,,,15.13,0.2,-0.2,8.394,0.027,-0.027,7.883,0.04,-0.04,7.585,0.046,-0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2746,0.000992,-0.000992,,,,10.565,0.0083729,-0.0083729,,,,2019-06-24,2019-07,2019-06-27,0,0,0,0,0,0,,,
28418,TOI-700 d,TOI-700,d,,,TIC 150428135,Gaia DR2 5284517766615492736,0,1,3,0,0,Transit,2020,<a refstr=GILBERT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200100952G/abstract target=ref>Gilbert et al. 2020</a>,2020-01,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,9.976745,0.000263,0.000263,0,,,,,2.452,5.36,5.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.99,,,,510,,,,,,,,2458331.359253,0.003625,0.003625,0,BJD,0,,,,,0.059762,0.008374,0.008374,0,1.973866,0.980339,0.980339,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,3482,,,0,1,,,0,,,,,,,,,,,,,,4.44,,,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,-26.8807,275.4691,-86.96069,164.4409,191.6726911,0.0574856,-0.0574856,-102.75,0.0511051,-0.0511051,161.805,0.0598665,-0.0598665,31.1265,0.0206,-0.0206,32.098,0.0210999,-0.0210999,14.55,0.047,-0.047,13.151,0.069,-0.069,9.469,0.023,-0.023,8.893,0.027,-0.027,8.634,0.023,-0.023,,,,,,,,,,,,,,,,8.523,0.023,-0.023,8.392,0.02,-0.02,8.281,0.019,-0.019,8.234,0.115,-0.115,12.0665,0.000478,-0.000478,,,,10.9102,0.0074234,-0.0074234,,,,2020-12-11,2017-07,2020-12-11,1,0,0,0,0,0,,,
28419,TOI-700 d,TOI-700,d,,,TIC 150428135,Gaia DR2 5284517766615492736,1,1,3,0,0,Transit,2020,<a refstr=GILBERT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200100952G/abstract target=ref>Gilbert et al. 2020</a>,2020-01,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=RODRIGUEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200100954R/abstract target=ref>Rodriguez et al. 2020</a>,37.42475,0.00036,-0.0004,0,0.1633,0.0026,-0.0027,0,1.144,0.062,-0.061,0,0.102,0.006,-0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.14,-0.078,0,0.85,0.1,-0.1,0,269,8,-8,0,89.79,0.14,-0.12,0,2458742.1476,0.0016,-0.0012,0,BJD-TDB,0,0.3,0.19,-0.2,0,0.0613,0.0045,-0.0043,0,3.3216,0.0792,-0.0648,0,82.9,3.5,-3.3,0,0.02476,0.00088,-0.00089,0,,,,,,,,,0,140,-130,0,,,,,,,,,,,,,<a refstr=RODRIGUEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200100954R/abstract target=ref>Rodriguez et al. 2020</a>,,3461,66,-66,0,0.42,0.02,-0.02,0,0.41,0.02,-0.02,0,-0.07,0.11,-0.11,0,[Fe/H],-1.635,0.048,-0.05,0,4.8,0.04,-0.04,0,,,,,7.68,1,-0.89,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,-26.8807,275.4691,-86.96069,164.4409,191.6726911,0.0574856,-0.0574856,-102.75,0.0511051,-0.0511051,161.805,0.0598665,-0.0598665,31.1265,0.0206,-0.0206,32.098,0.0210999,-0.0210999,14.55,0.047,-0.047,13.151,0.069,-0.069,9.469,0.023,-0.023,8.893,0.027,-0.027,8.634,0.023,-0.023,,,,,,,,,,,,,,,,8.523,0.023,-0.023,8.392,0.02,-0.02,8.281,0.019,-0.019,8.234,0.115,-0.115,12.0665,0.000478,-0.000478,,,,10.9102,0.0074234,-0.0074234,,,,2020-07-17,2020-01,2020-07-23,1,0,0,0,0,0,,,
28420,TOI-700 d,TOI-700,d,,,TIC 150428135,Gaia DR2 5284517766615492736,0,1,3,0,0,Transit,2020,<a refstr=GILBERT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200100952G/abstract target=ref>Gilbert et al. 2020</a>,2020-01,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GILBERT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200100952G/abstract target=ref>Gilbert et al. 2020</a>,37.426,0.0007,-0.001,0,0.163,0.015,-0.015,0,1.19,0.11,-0.11,0,0.106,0.01,-0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.054,-0.023,0,0.86,0.19,-0.15,0,,,,,89.73,0.15,-0.12,0,2458330.4737,0.0035,-0.004,0,BJD,0,0.4,0.15,-0.22,0,,,,,3.21,0.27,-0.26,0,84,4.7,-4.6,0,0.0262,0.0014,-0.0015,0,,,,,,,,,10,120,-130,0,,,,,,,,,,,,,<a refstr=GILBERT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200100952G/abstract target=ref>Gilbert et al. 2020</a>,M2 V,3480,135,-135,0,0.42,0.03,-0.03,0,0.42,0.01,-0.01,0,-0.07,0.11,-0.11,0,[Fe/H],-1.633,0.02,-0.021,0,4.81,0.06,-0.06,0,1.5,,,-1,8,1.8,-1.8,0,,,,,54,0.8,-0.8,0,-4.4,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,-26.8807,275.4691,-86.96069,164.4409,191.6726911,0.0574856,-0.0574856,-102.75,0.0511051,-0.0511051,161.805,0.0598665,-0.0598665,31.1265,0.0206,-0.0206,32.098,0.0210999,-0.0210999,14.55,0.047,-0.047,13.151,0.069,-0.069,9.469,0.023,-0.023,8.893,0.027,-0.027,8.634,0.023,-0.023,,,,,,,,,,,,,,,,8.523,0.023,-0.023,8.392,0.02,-0.02,8.281,0.019,-0.019,8.234,0.115,-0.115,12.0665,0.000478,-0.000478,,,,10.9102,0.0074234,-0.0074234,,,,2020-07-17,2020-01,2020-07-23,1,0,0,0,0,0,,,
3835,K2-72 e,K2-72,e,,,TIC 38337202,Gaia DR2 2615653023342995584,0,1,4,0,0,Transit,2016,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2016-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,24.1669,0.0057,-0.0057,0,,,,,0.82,0.22,-0.22,0,0.073,0.02,-0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456987.046,0.08,-0.08,0,BJD,0,,,,,,,,,2.2512,0.3408,-0.3408,0,,,,,0.032,0.0035,-0.0035,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,3497,150,-150,0,0.23,0.06,-0.06,0,,,,,,,,,,,,,,5.05,0.07,-0.07,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,-49.93976,51.45996,0.8530258,332.9882,209.4886222,0.0831936,-0.0831936,195.855,0.0837526,-0.0837526,74.3391,0.0792044,-0.0792044,66.4321,0.2003,-0.1991,15.0242,0.044918,-0.044918,16.783,0.111,-0.111,15.37,0.126,-0.126,11.685,0.023,-0.023,11.122,0.022,-0.022,10.962,0.021,-0.021,18.6937,0.0201156,-0.0201156,16.0698,0.0034781,-0.0034781,14.668,0.0033148,-0.0033148,13.5659,0.0033885,-0.0033885,12.9741,0.0033033,-0.0033033,10.799,0.024,-0.024,10.627,0.02,-0.02,10.555,0.091,-0.091,8.517,,,14.2789,0.000527,-0.000527,,,,13.1201,0.007313,-0.007313,14.407,,,2016-07-18,2016-09,2016-07-18,0,0,0,0,0,0,,,
3836,K2-72 e,K2-72,e,,,TIC 38337202,Gaia DR2 2615653023342995584,1,1,4,0,0,Transit,2016,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2016-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,24.158868,0.003726,-0.00385,0,0.106,0.009,-0.013,0,1.29,0.14,-0.13,0,0.115,0.012,-0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.198676,-0.086832,0,1.2,0.2,-0.2,0,,,,,89.68,0.22,-0.32,0,2456987.054,0.005,-0.005,0,BJD,0,,,,,,,,,,,,,64.53,9.14,-10.88,0,0.03576,0.00201,-0.00178,0,,,,,,,,,11.39,117.9131,-135.8512,0,,,,,,,,,,,,,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,-49.93976,51.45996,0.8530258,332.9882,209.4886222,0.0831936,-0.0831936,195.855,0.0837526,-0.0837526,74.3391,0.0792044,-0.0792044,66.4321,0.2003,-0.1991,15.0242,0.044918,-0.044918,16.783,0.111,-0.111,15.37,0.126,-0.126,11.685,0.023,-0.023,11.122,0.022,-0.022,10.962,0.021,-0.021,18.6937,0.0201156,-0.0201156,16.0698,0.0034781,-0.0034781,14.668,0.0033148,-0.0033148,13.5659,0.0033885,-0.0033885,12.9741,0.0033033,-0.0033033,10.799,0.024,-0.024,10.627,0.02,-0.02,10.555,0.091,-0.091,8.517,,,14.2789,0.000527,-0.000527,,,,13.1201,0.007313,-0.007313,14.407,,,2017-12-12,2017-11,2017-10-26,0,0,0,0,0,0,,,
3837,K2-72 e,K2-72,e,,,TIC 38337202,Gaia DR2 2615653023342995584,0,1,4,0,0,Transit,2016,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2016-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,24.15872,0.00372,-0.00386,0,,,,,1.29,0.14,-0.13,0,0.115,0.012,-0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.69,,,0,2456987.054,0.005,-0.005,0,BJD,0,,,,,,,,,,,,,65.01,,,0,0.036,0.002,-0.002,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3498,157,-157,0,0.33,0.01,-0.01,0,0.31,0.02,-0.02,0,,,,,,-1.837,0.094,-0.12,0,4.9,0,0,0,,,,,12.2977,0.3026,-0.3026,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,-49.93976,51.45996,0.8530258,332.9882,209.4886222,0.0831936,-0.0831936,195.855,0.0837526,-0.0837526,74.3391,0.0792044,-0.0792044,66.4321,0.2003,-0.1991,15.0242,0.044918,-0.044918,16.783,0.111,-0.111,15.37,0.126,-0.126,11.685,0.023,-0.023,11.122,0.022,-0.022,10.962,0.021,-0.021,18.6937,0.0201156,-0.0201156,16.0698,0.0034781,-0.0034781,14.668,0.0033148,-0.0033148,13.5659,0.0033885,-0.0033885,12.9741,0.0033033,-0.0033033,10.799,0.024,-0.024,10.627,0.02,-0.02,10.555,0.091,-0.091,8.517,,,14.2789,0.000527,-0.000527,,,,13.1201,0.007313,-0.007313,14.407,,,2017-12-14,2017-11,2017-12-14,0,0,0,0,0,0,,,
3838,K2-72 e,K2-72,e,,,TIC 38337202,Gaia DR2 2615653023342995584,0,1,4,0,0,Transit,2016,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2016-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,24.1669,0.0057,-0.0057,0,0.098,0.012,-0.012,0,0.82,0.22,-0.22,0,0.073,0.02,-0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.46,-0.46,0,,,,,,,,,2456987.046,0.008,-0.008,0,BJD-TDB,0,,,,,,,,,2.25,0.34,-0.34,0,,,,,0.032,0.0035,-0.0035,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,3497,150,-150,0,0.23,0.06,-0.06,0,0.22,0.08,-0.08,0,,,,,,,,,,5.05,0.07,-0.07,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,-49.93976,51.45996,0.8530258,332.9882,209.4886222,0.0831936,-0.0831936,195.855,0.0837526,-0.0837526,74.3391,0.0792044,-0.0792044,66.4321,0.2003,-0.1991,15.0242,0.044918,-0.044918,16.783,0.111,-0.111,15.37,0.126,-0.126,11.685,0.023,-0.023,11.122,0.022,-0.022,10.962,0.021,-0.021,18.6937,0.0201156,-0.0201156,16.0698,0.0034781,-0.0034781,14.668,0.0033148,-0.0033148,13.5659,0.0033885,-0.0033885,12.9741,0.0033033,-0.0033033,10.799,0.024,-0.024,10.627,0.02,-0.02,10.555,0.091,-0.091,8.517,,,14.2789,0.000527,-0.000527,,,,13.1201,0.007313,-0.007313,14.407,,,2017-12-12,2016-09,2016-07-18,0,0,0,0,0,0,,,
28450,TRAPPIST-1 d,TRAPPIST-1,d,,,TIC 278892590,Gaia DR2 2635476908753563008,0,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,0.02228,0,0,0,0.784,0.023,-0.023,0,0.07,0.002,-0.002,0,0.297,0.039,-0.035,0,0.00093,0.00012,-0.00011,0,,,,,,,,,,,,,,,,,0.297,0.039,-0.035,0,0.00093,0.00012,-0.00011,0,Mass,3.4,0.37,-0.34,0,0.00837,0.00093,-0.00093,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.73,6.17,-6.17,0,,,,,,,,,,,,,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,,,,,,0.09,0.01,-0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64466,69.71302,0.6332796,345.7341,1026.5792712,8,-8,901,8,-8,-492,8,-8,,,,,,,,,,17.02,0.2,-0.2,11.354,0.022,-0.022,10.718,0.021,-0.021,10.296,0.023,-0.023,23.3056,0.803622,-0.803622,19.6235,0.0155229,-0.0155229,17.9963,0.007352,-0.007352,15.0923,0.004339,-0.004339,13.4342,0.0040633,-0.0040633,,,,,,,,,,,,,15.6451,0.001448,-0.001448,,,,13.8529,0.0112926,-0.0112926,12.917,,,2020-12-10,2018-05,2020-12-17,3,0,0,0,0,0,,,
28451,TRAPPIST-1 d,TRAPPIST-1,d,,,TIC 278892590,Gaia DR2 2635476908753563008,1,1,7,0,0,Transit,2016,<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a>,2016-05,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,4.04961,6.3E-05,-6.3E-05,0,0.02144,0.00066,-0.00063,0,0.772,0.03,-0.03,0,0.069,0.003,-0.003,0,0.41,0.27,-0.27,0,0.00129,0.00085,-0.00085,0,,,,,,,,,,,,,,,,,0.41,0.27,-0.27,0,0.00129,0.00085,-0.00085,0,Mass,4.9,3.3,-3.3,0,0.07,,,1,1.14,0.09,-0.09,0,288,6,-6,0,89.75,0.16,-0.16,0,2457670.14165,0.00035,-0.00035,0,BJD-TDB,1,0.17,0.11,-0.11,0,0.367,0.017,-0.017,0,0.8188,0.011,-0.011,0,39.55,0.3,-0.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,50,-50,0,0.12,0,0,0,0.08,0.01,-0.01,0,0.04,0.08,-0.08,0,[Fe/H],-3.281,0.027,-0.029,0,,,,,,,,,71.5,1.7,-3.1,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,-56.64466,69.71302,0.6332796,345.7341,1026.5792712,8,-8,901,8,-8,-492,8,-8,,,,,,,,,,17.02,0.2,-0.2,11.354,0.022,-0.022,10.718,0.021,-0.021,10.296,0.023,-0.023,23.3056,0.803622,-0.803622,19.6235,0.0155229,-0.0155229,17.9963,0.007352,-0.007352,15.0923,0.004339,-0.004339,13.4342,0.0040633,-0.0040633,,,,,,,,,,,,,15.6451,0.001448,-0.001448,,,,13.8529,0.0112926,-0.0112926,12.917,,,2017-02-17,2017-02,2017-02-22,3,0,0,0,0,0,,,
