,pl_name,pl_orbper,pl_eqt,pl_orbeccen,st_rad,pl_imppar,pl_orbincl,pl_insol,pl_ratdor,pl_trandep
351,G 9-40 b,5.746007,456.0,0.0,0.31,0.672,88.57,7.2,27.0,0.365
594,HAT-P-11 b,4.88780308,800.0,0.0,0.76,0.054000000000000006,89.82,96.67,16.7084,0.43158
597,HAT-P-11 b,4.88780271,801.0,0.0,0.77,0.026000000000000002,89.95,97.1,16.7184,0.43421000000000004
598,HAT-P-11 b,4.88780271,801.0,0.0,0.77,0.026000000000000002,89.95,97.1,16.7184,0.43421000000000004
599,HAT-P-11 b,4.88780271,801.0,0.0,0.77,0.026000000000000002,89.95,97.1,16.7184,0.43421000000000004
708,HAT-P-25 b,3.65281514,1182.0,0.023,0.92,0.34700000000000003,88.22,325.0,10.9,0.0161
724,HAT-P-29 b,5.72339,1271.0,0.075,1.24,0.41700000000000004,87.99,433.0,11.56,0.782
754,HAT-P-32 b,2.1500082000000003,1836.0,0.159,1.37,0.083,88.98,1841.0,5.343999999999999,2.2159999999999997
773,HAT-P-36 b,1.3273466,1820.0,0.063,1.11,0.373,85.19,1821.0,4.665,1.588
862,HAT-P-7 b,2.20473536,2025.0,0.0,1.99,0.001,89.95,3973.7,4.707268,0.66906
863,HAT-P-7 b,2.20473542,2048.0,0.0,1.95,0.22399999999999998,87.21,4148.92,4.602,0.66747
864,HAT-P-7 b,2.20473536,2025.0,0.0,1.99,0.001,89.95,3973.7,4.707268,0.66906
869,HAT-P-7 b,2.20473536,2025.0,0.0,1.99,0.001,89.95,3973.7,4.707268,0.66906
883,HAT-P-9 b,3.92281072,1540.0,0.084,1.34,0.51,86.44,931.0,8.5,1.1440000000000001
937,HATS-36 b,4.1752387,1356.0,0.105,1.16,0.452,87.61,561.0,10.1,1.4
1226,HD 136352 b,11.57779,911.0,0.079,1.01,0.41,88.86,114.0,20.6,0.018000000000000002
1229,HD 136352 c,27.5909,682.0,0.037000000000000005,1.01,0.8540000000000001,88.65799999999999,36.0,36.76,0.0558
1243,HD 1397 b,11.53533,1228.0,0.251,2.34,0.17,88.99,356.0,10.1,0.2037
1606,HD 202772 A b,3.308958,2132.0,0.038,2.59,0.40299999999999997,84.51,3440.0,4.33,0.3755
1881,HD 332231 b,18.71204,876.0,0.032,1.28,0.133,89.68,98.09,24.21,0.4867
2341,HIP 65 A b,0.9809734,1411.0,0.0,0.72,1.169,77.18,661.0,5.289,8.2
2373,HR 858 b,3.5859900000000002,1572.0,0.3,1.31,0.59,85.5,989.7,7.87,0.0213
2374,HR 858 c,5.97293,1326.0,0.19,1.31,0.72,86.23,512.0,11.06,0.0184
2376,HR 858 d,11.23,1075.0,0.28,1.31,0.7290000000000001,87.43,217.0,16.85,0.0229
2410,K2-100 b,1.6739023999999998,1094.0,0.0,1.19,0.36,87.3,990.0,7.79,0.0703
3287,K2-266 c,7.814,664.0,0.042,0.7,0.6,88.28,32.4,20.8,0.0085
3288,K2-266 d,14.697000000000001,538.0,0.047,0.7,0.29,89.46,13.95,31.7,0.1465
